name,survived,gender,age
"Allen, Miss. Elisabeth Walton",yes,female,29.0
"Allison, Master. Hudson Trevor",yes,male,0.916700006
"Allison, Miss. Helen Loraine",no,female,2.0
"Allison, Mr. Hudson Joshua Crei",no,male,30.0
"Allison, Mrs. Hudson J C (Bessi",no,female,25.0
"Anderson, Mr. Harry",yes,male,48.0
"Andrews, Miss. Kornelia Theodos",yes,female,63.0
"Andrews, Mr. Thomas Jr",no,male,39.0
"Appleton, Mrs. Edward Dale (Cha",yes,female,53.0
"Artagaveytia, Mr. Ramon",no,male,71.0
"Astor, Col. John Jacob",no,male,47.0
"Astor, Mrs. John Jacob (Madelei",yes,female,18.0
"Aubart, Mme. Leontine Pauline",yes,female,24.0
"Barber, Miss. Ellen Nellie",yes,female,26.0
"Barkworth, Mr. Algernon Henry W",yes,male,80.0
"Baumann, Mr. John D",no,male,
"Baxter, Mr. Quigg Edmond",no,male,24.0
"Baxter, Mrs. James (Helene DeLa",yes,female,50.0
"Bazzani, Miss. Albina",yes,female,32.0
"Beattie, Mr. Thomson",no,male,36.0
"Beckwith, Mr. Richard Leonard",yes,male,37.0
"Beckwith, Mrs. Richard Leonard",yes,female,47.0
"Behr, Mr. Karl Howell",yes,male,26.0
"Bidois, Miss. Rosalie",yes,female,42.0
"Bird, Miss. Ellen",yes,female,29.0
"Birnbaum, Mr. Jakob",no,male,25.0
"Bishop, Mr. Dickinson H",yes,male,25.0
"Bishop, Mrs. Dickinson H (Helen",yes,female,19.0
"Bissette, Miss. Amelia",yes,female,35.0
"Bjornstrom-Steffansson, Mr. Mau",yes,male,28.0
"Blackwell, Mr. Stephen Weart",no,male,45.0
"Blank, Mr. Henry",yes,male,40.0
"Bonnell, Miss. Caroline",yes,female,30.0
"Bonnell, Miss. Elizabeth",yes,female,58.0
"Borebank, Mr. John James",no,male,42.0
"Bowen, Miss. Grace Scott",yes,female,45.0
"Bowerman, Miss. Elsie Edith",yes,female,22.0
"Bradley, Mr. George (George Ar",yes,male,
"Brady, Mr. John Bertram",no,male,41.0
"Brandeis, Mr. Emil",no,male,48.0
"Brewe, Dr. Arthur Jackson",no,male,
"Brown, Mrs. James Joseph (Marga",yes,female,44.0
"Brown, Mrs. John Murray (Caroli",yes,female,59.0
"Bucknell, Mrs. William Robert (",yes,female,60.0
"Burns, Miss. Elizabeth Margaret",yes,female,41.0
"Butt, Major. Archibald Willingh",no,male,45.0
"Cairns, Mr. Alexander",no,male,
"Calderhead, Mr. Edward Penningt",yes,male,42.0
"Candee, Mrs. Edward (Helen Chur",yes,female,53.0
"Cardeza, Mr. Thomas Drake Marti",yes,male,36.0
"Cardeza, Mrs. James Warburton M",yes,female,58.0
"Carlsson, Mr. Frans Olof",no,male,33.0
"Carrau, Mr. Francisco M",no,male,28.0
"Carrau, Mr. Jose Pedro",no,male,17.0
"Carter, Master. William Thornto",yes,male,11.0
"Carter, Miss. Lucile Polk",yes,female,14.0
"Carter, Mr. William Ernest",yes,male,36.0
"Carter, Mrs. William Ernest (Lu",yes,female,36.0
"Case, Mr. Howard Brown",no,male,49.0
"Cassebeer, Mrs. Henry Arthur Jr",yes,female,
"Cavendish, Mr. Tyrell William",no,male,36.0
"Cavendish, Mrs. Tyrell William",yes,female,76.0
"Chaffee, Mr. Herbert Fuller",no,male,46.0
"Chaffee, Mrs. Herbert Fuller (C",yes,female,47.0
"Chambers, Mr. Norman Campbell",yes,male,27.0
"Chambers, Mrs. Norman Campbell",yes,female,33.0
"Chaudanson, Miss. Victorine",yes,female,36.0
"Cherry, Miss. Gladys",yes,female,30.0
"Chevre, Mr. Paul Romaine",yes,male,45.0
"Chibnall, Mrs. (Edith Martha Bo",yes,female,
"Chisholm, Mr. Roderick Robert C",no,male,
"Clark, Mr. Walter Miller",no,male,27.0
"Clark, Mrs. Walter Miller (Virg",yes,female,26.0
"Cleaver, Miss. Alice",yes,female,22.0
"Clifford, Mr. George Quincy",no,male,
"Colley, Mr. Edward Pomeroy",no,male,47.0
"Compton, Miss. Sara Rebecca",yes,female,39.0
"Compton, Mr. Alexander Taylor J",no,male,37.0
"Compton, Mrs. Alexander Taylor",yes,female,64.0
"Cornell, Mrs. Robert Clifford (",yes,female,55.0
"Crafton, Mr. John Bertram",no,male,
"Crosby, Capt. Edward Gifford",no,male,70.0
"Crosby, Miss. Harriet R",yes,female,36.0
"Crosby, Mrs. Edward Gifford (Ca",yes,female,64.0
"Cumings, Mr. John Bradley",no,male,39.0
"Cumings, Mrs. John Bradley (Flo",yes,female,38.0
"Daly, Mr. Peter Denis",yes,male,51.0
"Daniel, Mr. Robert Williams",yes,male,27.0
"Daniels, Miss. Sarah",yes,female,33.0
"Davidson, Mr. Thornton",no,male,31.0
"Davidson, Mrs. Thornton (Orian",yes,female,27.0
"Dick, Mr. Albert Adrian",yes,male,31.0
"Dick, Mrs. Albert Adrian (Vera",yes,female,17.0
"Dodge, Dr. Washington",yes,male,53.0
"Dodge, Master. Washington",yes,male,4.0
"Dodge, Mrs. Washington (Ruth Vi",yes,female,54.0
"Douglas, Mr. Walter Donald",no,male,50.0
"Douglas, Mrs. Frederick Charles",yes,female,27.0
"Douglas, Mrs. Walter Donald (Ma",yes,female,48.0
"Duff Gordon, Lady. (Lucille Chr",yes,female,48.0
"Duff Gordon, Sir. Cosmo Edmund",yes,male,49.0
"Dulles, Mr. William Crothers",no,male,39.0
"Earnshaw, Mrs. Boulton (Olive P",yes,female,23.0
"Endres, Miss. Caroline Louise",yes,female,38.0
"Eustis, Miss. Elizabeth Mussey",yes,female,54.0
"Evans, Miss. Edith Corse",no,female,36.0
"Farthing, Mr. John",no,male,
"Flegenheim, Mrs. Alfred (Antoin",yes,female,
"Fleming, Miss. Margaret",yes,female,
"Flynn, Mr. John Irwin (Irving",yes,male,36.0
"Foreman, Mr. Benjamin Laventall",no,male,30.0
"Fortune, Miss. Alice Elizabeth",yes,female,24.0
"Fortune, Miss. Ethel Flora",yes,female,28.0
"Fortune, Miss. Mabel Helen",yes,female,23.0
"Fortune, Mr. Charles Alexander",no,male,19.0
"Fortune, Mr. Mark",no,male,64.0
"Fortune, Mrs. Mark (Mary McDoug",yes,female,60.0
"Francatelli, Miss. Laura Mabel",yes,female,30.0
"Franklin, Mr. Thomas Parham",no,male,
"Frauenthal, Dr. Henry William",yes,male,50.0
"Frauenthal, Mr. Isaac Gerald",yes,male,43.0
"Frauenthal, Mrs. Henry William",yes,female,
"Frolicher, Miss. Hedwig Margari",yes,female,22.0
"Frolicher-Stehli, Mr. Maxmillia",yes,male,60.0
"Frolicher-Stehli, Mrs. Maxmilli",yes,female,48.0
"Fry, Mr. Richard",no,male,
"Futrelle, Mr. Jacques Heath",no,male,37.0
"Futrelle, Mrs. Jacques Heath (L",yes,female,35.0
"Gee, Mr. Arthur H",no,male,47.0
"Geiger, Miss. Amalie",yes,female,35.0
"Gibson, Miss. Dorothy Winifred",yes,female,22.0
"Gibson, Mrs. Leonard (Pauline C",yes,female,45.0
"Giglio, Mr. Victor",no,male,24.0
"Goldenberg, Mr. Samuel L",yes,male,49.0
"Goldenberg, Mrs. Samuel L (Edwi",yes,female,
"Goldschmidt, Mr. George B",no,male,71.0
"Gracie, Col. Archibald IV",yes,male,53.0
"Graham, Miss. Margaret Edith",yes,female,19.0
"Graham, Mr. George Edward",no,male,38.0
"Graham, Mrs. William Thompson (",yes,female,58.0
"Greenfield, Mr. William Bertram",yes,male,23.0
"Greenfield, Mrs. Leo David (Bla",yes,female,45.0
"Guggenheim, Mr. Benjamin",no,male,46.0
"Harder, Mr. George Achilles",yes,male,25.0
"Harder, Mrs. George Achilles (D",yes,female,25.0
"Harper, Mr. Henry Sleeper",yes,male,48.0
"Harper, Mrs. Henry Sleeper (Myn",yes,female,49.0
"Harrington, Mr. Charles H",no,male,
"Harris, Mr. Henry Birkhardt",no,male,45.0
"Harris, Mrs. Henry Birkhardt (I",yes,female,35.0
"Harrison, Mr. William",no,male,40.0
"Hassab, Mr. Hammad",yes,male,27.0
"Hawksford, Mr. Walter James",yes,male,
"Hays, Miss. Margaret Bechstein",yes,female,24.0
"Hays, Mr. Charles Melville",no,male,55.0
"Hays, Mrs. Charles Melville (Cl",yes,female,52.0
"Head, Mr. Christopher",no,male,42.0
"Hilliard, Mr. Herbert Henry",no,male,
"Hipkins, Mr. William Edward",no,male,55.0
"Hippach, Miss. Jean Gertrude",yes,female,16.0
"Hippach, Mrs. Louis Albert (Ida",yes,female,44.0
"Hogeboom, Mrs. John C (Anna And",yes,female,51.0
"Holverson, Mr. Alexander Oskar",no,male,42.0
"Holverson, Mrs. Alexander Oskar",yes,female,35.0
"Homer, Mr. Harry (Mr E Haven)",yes,male,35.0
"Hoyt, Mr. Frederick Maxfield",yes,male,38.0
"Hoyt, Mr. William Fisher",no,male,
"Hoyt, Mrs. Frederick Maxfield (",yes,female,35.0
"Icard, Miss. Amelie",yes,female,38.0
"Isham, Miss. Ann Elizabeth",no,female,50.0
"Ismay, Mr. Joseph Bruce",yes,male,49.0
"Jones, Mr. Charles Cresson",no,male,46.0
"Julian, Mr. Henry Forbes",no,male,50.0
"Keeping, Mr. Edwin",no,male,32.5
"Kent, Mr. Edward Austin",no,male,58.0
"Kenyon, Mr. Frederick R",no,male,41.0
"Kenyon, Mrs. Frederick R (Mario",yes,female,
"Kimball, Mr. Edwin Nelson Jr",yes,male,42.0
"Kimball, Mrs. Edwin Nelson Jr (",yes,female,45.0
"Klaber, Mr. Herman",no,male,
"Kreuchen, Miss. Emilie",yes,female,39.0
"Leader, Dr. Alice (Farnham)",yes,female,49.0
"LeRoy, Miss. Bertha",yes,female,30.0
"Lesurer, Mr. Gustave J",yes,male,35.0
"Lewy, Mr. Ervin G",no,male,
"Lindeberg-Lind, Mr. Erik Gustaf",no,male,42.0
"Lindstrom, Mrs. Carl Johan (Sig",yes,female,55.0
"Lines, Miss. Mary Conover",yes,female,16.0
"Lines, Mrs. Ernest H (Elizabeth",yes,female,51.0
"Long, Mr. Milton Clyde",no,male,29.0
"Longley, Miss. Gretchen Fiske",yes,female,21.0
"Loring, Mr. Joseph Holland",no,male,30.0
"Lurette, Miss. Elise",yes,female,58.0
"Madill, Miss. Georgette Alexand",yes,female,15.0
"Maguire, Mr. John Edward",no,male,30.0
"Maioni, Miss. Roberta",yes,female,16.0
"Marechal, Mr. Pierre",yes,male,
"Marvin, Mr. Daniel Warner",no,male,19.0
"Marvin, Mrs. Daniel Warner (Mar",yes,female,18.0
"Mayne, Mlle. Berthe Antonine (",yes,female,24.0
"McCaffry, Mr. Thomas Francis",no,male,46.0
"McCarthy, Mr. Timothy J",no,male,54.0
"McGough, Mr. James Robert",yes,male,36.0
"Meyer, Mr. Edgar Joseph",no,male,28.0
"Meyer, Mrs. Edgar Joseph (Leila",yes,female,
"Millet, Mr. Francis Davis",no,male,65.0
"Minahan, Dr. William Edward",no,male,44.0
"Minahan, Miss. Daisy E",yes,female,33.0
"Minahan, Mrs. William Edward (L",yes,female,37.0
"Mock, Mr. Philipp Edmund",yes,male,30.0
"Molson, Mr. Harry Markland",no,male,55.0
"Moore, Mr. Clarence Bloomfield",no,male,47.0
"Natsch, Mr. Charles H",no,male,37.0
"Newell, Miss. Madeleine",yes,female,31.0
"Newell, Miss. Marjorie",yes,female,23.0
"Newell, Mr. Arthur Webster",no,male,58.0
"Newsom, Miss. Helen Monypeny",yes,female,19.0
"Nicholson, Mr. Arthur Ernest",no,male,64.0
"Oliva y Ocana, Dona. Fermina",yes,female,39.0
"Omont, Mr. Alfred Fernand",yes,male,
"Ostby, Miss. Helene Ragnhild",yes,female,22.0
"Ostby, Mr. Engelhart Cornelius",no,male,65.0
"Ovies y Rodriguez, Mr. Servando",no,male,28.5
"Parr, Mr. William Henry Marsh",no,male,
"Partner, Mr. Austen",no,male,45.5
"Payne, Mr. Vivian Ponsonby",no,male,23.0
"Pears, Mr. Thomas Clinton",no,male,29.0
"Pears, Mrs. Thomas (Edith Wearn",yes,female,22.0
"Penasco y Castellana, Mr. Victo",no,male,18.0
"Penasco y Castellana, Mrs. Vict",yes,female,17.0
"Perreault, Miss. Anne",yes,female,30.0
"Peuchen, Major. Arthur Godfrey",yes,male,52.0
"Porter, Mr. Walter Chamberlain",no,male,47.0
"Potter, Mrs. Thomas Jr (Lily Al",yes,female,56.0
"Reuchlin, Jonkheer. John George",no,male,38.0
"Rheims, Mr. George Alexander Lu",yes,male,
"Ringhini, Mr. Sante",no,male,22.0
"Robbins, Mr. Victor",no,male,
"Robert, Mrs. Edward Scott (Elis",yes,female,43.0
"Roebling, Mr. Washington August",no,male,31.0
"Romaine, Mr. Charles Hallace (",yes,male,45.0
"Rood, Mr. Hugh Roscoe",no,male,
"Rosenbaum, Miss. Edith Louise",yes,female,33.0
"Rosenshine, Mr. George (Mr Geo",no,male,46.0
"Ross, Mr. John Hugo",no,male,36.0
"Rothes, the Countess. of (Lucy",yes,female,33.0
"Rothschild, Mr. Martin",no,male,55.0
"Rothschild, Mrs. Martin (Elizab",yes,female,54.0
"Rowe, Mr. Alfred G",no,male,33.0
"Ryerson, Master. John Borie",yes,male,13.0
"Ryerson, Miss. Emily Borie",yes,female,18.0
"Ryerson, Miss. Susan Parker Su",yes,female,21.0
"Ryerson, Mr. Arthur Larned",no,male,61.0
"Ryerson, Mrs. Arthur Larned (Em",yes,female,48.0
"Saalfeld, Mr. Adolphe",yes,male,
"Sagesser, Mlle. Emma",yes,female,24.0
"Salomon, Mr. Abraham L",yes,male,
"Schabert, Mrs. Paul (Emma Mock)",yes,female,35.0
"Serepeca, Miss. Augusta",yes,female,30.0
"Seward, Mr. Frederic Kimber",yes,male,34.0
"Shutes, Miss. Elizabeth W",yes,female,40.0
"Silverthorne, Mr. Spencer Victo",yes,male,35.0
"Silvey, Mr. William Baird",no,male,50.0
"Silvey, Mrs. William Baird (Ali",yes,female,39.0
"Simonius-Blumer, Col. Oberst Al",yes,male,56.0
"Sloper, Mr. William Thompson",yes,male,28.0
"Smart, Mr. John Montgomery",no,male,56.0
"Smith, Mr. James Clinch",no,male,56.0
"Smith, Mr. Lucien Philip",no,male,24.0
"Smith, Mr. Richard William",no,male,
"Smith, Mrs. Lucien Philip (Mary",yes,female,18.0
"Snyder, Mr. John Pillsbury",yes,male,24.0
"Snyder, Mrs. John Pillsbury (Ne",yes,female,23.0
"Spedden, Master. Robert Douglas",yes,male,6.0
"Spedden, Mr. Frederic Oakley",yes,male,45.0
"Spedden, Mrs. Frederic Oakley (",yes,female,40.0
"Spencer, Mr. William Augustus",no,male,57.0
"Spencer, Mrs. William Augustus",yes,female,
"Stahelin-Maeglin, Dr. Max",yes,male,32.0
"Stead, Mr. William Thomas",no,male,62.0
"Stengel, Mr. Charles Emil Henry",yes,male,54.0
"Stengel, Mrs. Charles Emil Henr",yes,female,43.0
"Stephenson, Mrs. Walter Bertram",yes,female,52.0
"Stewart, Mr. Albert A",no,male,
"Stone, Mrs. George Nelson (Mart",yes,female,62.0
"Straus, Mr. Isidor",no,male,67.0
"Straus, Mrs. Isidor (Rosalie Id",no,female,63.0
"Sutton, Mr. Frederick",no,male,61.0
"Swift, Mrs. Frederick Joel (Mar",yes,female,48.0
"Taussig, Miss. Ruth",yes,female,18.0
"Taussig, Mr. Emil",no,male,52.0
"Taussig, Mrs. Emil (Tillie Mand",yes,female,39.0
"Taylor, Mr. Elmer Zebley",yes,male,48.0
"Taylor, Mrs. Elmer Zebley (Juli",yes,female,
"Thayer, Mr. John Borland",no,male,49.0
"Thayer, Mr. John Borland Jr",yes,male,17.0
"Thayer, Mrs. John Borland (Mari",yes,female,39.0
"Thorne, Mrs. Gertrude Maybelle",yes,female,
"Tucker, Mr. Gilbert Milligan Jr",yes,male,31.0
"Uruchurtu, Don. Manuel E",no,male,40.0
"Van der hoef, Mr. Wyckoff",no,male,61.0
"Walker, Mr. William Anderson",no,male,47.0
"Ward, Miss. Anna",yes,female,35.0
"Warren, Mr. Frank Manley",no,male,64.0
"Warren, Mrs. Frank Manley (Anna",yes,female,60.0
"Weir, Col. John",no,male,60.0
"White, Mr. Percival Wayland",no,male,54.0
"White, Mr. Richard Frasar",no,male,21.0
"White, Mrs. John Stuart (Ella H",yes,female,55.0
"Wick, Miss. Mary Natalie",yes,female,31.0
"Wick, Mr. George Dennick",no,male,57.0
"Wick, Mrs. George Dennick (Mary",yes,female,45.0
"Widener, Mr. George Dunton",no,male,50.0
"Widener, Mr. Harry Elkins",no,male,27.0
"Widener, Mrs. George Dunton (El",yes,female,50.0
"Willard, Miss. Constance",yes,female,21.0
"Williams, Mr. Charles Duane",no,male,51.0
"Williams, Mr. Richard Norris II",yes,male,21.0
"Williams-Lambert, Mr. Fletcher",no,male,
"Wilson, Miss. Helen Alice",yes,female,31.0
"Woolner, Mr. Hugh",yes,male,
"Wright, Mr. George",no,male,62.0
"Young, Miss. Marie Grice",yes,female,36.0
"Abelson, Mr. Samuel",no,male,30.0
"Abelson, Mrs. Samuel (Hannah Wi",yes,female,28.0
"Aldworth, Mr. Charles Augustus",no,male,30.0
"Andrew, Mr. Edgardo Samuel",no,male,18.0
"Andrew, Mr. Frank Thomas",no,male,25.0
"Angle, Mr. William A",no,male,34.0
"Angle, Mrs. William A (Florence",yes,female,36.0
"Ashby, Mr. John",no,male,57.0
"Bailey, Mr. Percy Andrew",no,male,18.0
"Baimbrigge, Mr. Charles Robert",no,male,23.0
"Ball, Mrs. (Ada E Hall)",yes,female,36.0
"Banfield, Mr. Frederick James",no,male,28.0
"Bateman, Rev. Robert James",no,male,51.0
"Beane, Mr. Edward",yes,male,32.0
"Beane, Mrs. Edward (Ethel Clark",yes,female,19.0
"Beauchamp, Mr. Henry James",no,male,28.0
"Becker, Master. Richard F",yes,male,1.0
"Becker, Miss. Marion Louise",yes,female,4.0
"Becker, Miss. Ruth Elizabeth",yes,female,12.0
"Becker, Mrs. Allen Oliver (Nell",yes,female,36.0
"Beesley, Mr. Lawrence",yes,male,34.0
"Bentham, Miss. Lilian W",yes,female,19.0
"Berriman, Mr. William John",no,male,23.0
"Botsford, Mr. William Hull",no,male,26.0
"Bowenur, Mr. Solomon",no,male,42.0
"Bracken, Mr. James H",no,male,27.0
"Brown, Miss. Amelia Mildred",yes,female,24.0
"Brown, Miss. Edith Eileen",yes,female,15.0
"Brown, Mr. Thomas William Solom",no,male,60.0
"Brown, Mrs. Thomas William Solo",yes,female,40.0
"Bryhl, Miss. Dagmar Jenny Ingeb",yes,female,20.0
"Bryhl, Mr. Kurt Arnold Gottfrid",no,male,25.0
"Buss, Miss. Kate",yes,female,36.0
"Butler, Mr. Reginald Fenton",no,male,25.0
"Byles, Rev. Thomas Roussel Davi",no,male,42.0
"Bystrom, Mrs. (Karolina)",yes,female,42.0
"Caldwell, Master. Alden Gates",yes,male,0.833299994
"Caldwell, Mr. Albert Francis",yes,male,26.0
"Caldwell, Mrs. Albert Francis (",yes,female,22.0
"Cameron, Miss. Clear Annie",yes,female,35.0
"Campbell, Mr. William",no,male,
"Carbines, Mr. William",no,male,19.0
"Carter, Mrs. Ernest Courtenay (",no,female,44.0
"Carter, Rev. Ernest Courtenay",no,male,54.0
"Chapman, Mr. Charles Henry",no,male,52.0
"Chapman, Mr. John Henry",no,male,37.0
"Chapman, Mrs. John Henry (Sara",no,female,29.0
"Christy, Miss. Julie Rachel",yes,female,25.0
"Christy, Mrs. (Alice Frances)",yes,female,45.0
"Clarke, Mr. Charles Valentine",no,male,29.0
"Clarke, Mrs. Charles V (Ada Mar",yes,female,28.0
"Coleridge, Mr. Reginald Charles",no,male,29.0
"Collander, Mr. Erik Gustaf",no,male,28.0
"Collett, Mr. Sidney C Stuart",yes,male,24.0
"Collyer, Miss. Marjorie Lottie",yes,female,8.0
"Collyer, Mr. Harvey",no,male,31.0
"Collyer, Mrs. Harvey (Charlotte",yes,female,31.0
"Cook, Mrs. (Selena Rogers)",yes,female,22.0
"Corbett, Mrs. Walter H (Irene C",no,female,30.0
"Corey, Mrs. Percy C (Mary Phyll",no,female,
"Cotterill, Mr. Henry Harry",no,male,21.0
"Cunningham, Mr. Alfred Fleming",no,male,
"Davies, Master. John Morgan Jr",yes,male,8.0
"Davies, Mr. Charles Henry",no,male,18.0
"Davies, Mrs. John Morgan (Eliza",yes,female,48.0
"Davis, Miss. Mary",yes,female,28.0
"de Brito, Mr. Jose Joaquim",no,male,32.0
"Deacon, Mr. Percy William",no,male,17.0
"del Carlo, Mr. Sebastiano",no,male,29.0
"del Carlo, Mrs. Sebastiano (Arg",yes,female,24.0
"Denbury, Mr. Herbert",no,male,25.0
"Dibden, Mr. William",no,male,18.0
"Doling, Miss. Elsie",yes,female,18.0
"Doling, Mrs. John T (Ada Julia",yes,female,34.0
"Downton, Mr. William James",no,male,54.0
"Drew, Master. Marshall Brines",yes,male,8.0
"Drew, Mr. James Vivian",no,male,42.0
"Drew, Mrs. James Vivian (Lulu T",yes,female,34.0
"Duran y More, Miss. Asuncion",yes,female,27.0
"Duran y More, Miss. Florentina",yes,female,30.0
"Eitemiller, Mr. George Floyd",no,male,23.0
"Enander, Mr. Ingvar",no,male,21.0
"Fahlstrom, Mr. Arne Jonas",no,male,18.0
"Faunthorpe, Mr. Harry",no,male,40.0
"Faunthorpe, Mrs. Lizzie (Elizab",yes,female,29.0
"Fillbrook, Mr. Joseph Charles",no,male,18.0
"Fox, Mr. Stanley Hubert",no,male,36.0
